step,raw_return,normalized_score
50000,1291.7023980947738,39.558778384912884
100000,1454.2886150897791,44.617422317817926
150000,2155.1836638461127,66.42479659298992
200000,2003.289805312746,61.698830517163486
250000,1932.2275922996191,59.48782862929309
300000,1919.3422344959222,59.086918648842634
