shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,746.1347018968954,338.3,0.5073338235774465
gravity,1.0,1514.4833106158787,468.3,0.0
gravity,1.5,796.6200021852864,248.9,0.4739988241525531
gravity,2.0,363.3423291599355,151.9,0.760088258079134
obs_noise,0.0,1514.4833106158787,468.3,0.0
obs_noise,0.01,1651.2553990283443,513.5,-0.09030940615439725
obs_noise,0.1,980.9609823976352,327.3,0.3522800974289256
obs_noise,0.3,316.1438765084466,190.8,0.7912529809391669
friction,0.5,702.0288675098101,237.6,0.5364565178177345
friction,1.0,1514.4833106158787,468.3,0.0
friction,1.5,396.452628523797,157.2,0.7382258188354841
friction,2.0,303.7705711457056,132.1,0.7994229655642924
reward_perturb,0.0,1514.4833106158787,468.3,0.0
reward_perturb,0.1,1513.9765135970802,468.3,0.0003346336108467815
reward_perturb,0.5,1514.9494457957762,468.3,-0.00030778495651294683
reward_perturb,1.0,1519.8668722644697,468.3,-0.003554718372169936
