shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,2084.199151120157,875.2,0.4091810346487254
gravity,1.0,3527.6442926658337,962.5,0.0
gravity,1.5,583.7579171912156,202.0,0.8345190532943243
gravity,2.0,375.63258363371557,137.5,0.8935174432369283
obs_noise,0.0,3527.6442926658337,962.5,0.0
obs_noise,0.01,3334.1249444743817,902.3,0.05485795395918728
obs_noise,0.1,2891.7058644139433,758.0,0.18027283237543007
obs_noise,0.3,324.2555604180408,150.2,0.9080815599542772
friction,0.5,3488.7793006986954,971.3,0.011017264991240996
friction,1.0,3527.6442926658337,962.5,0.0
friction,1.5,3272.8088206223742,894.9,0.07223956014308938
friction,2.0,2377.7840858329964,757.2,0.3259569592159447
reward_perturb,0.0,3527.6442926658337,962.5,0.0
reward_perturb,0.1,3526.5320176198475,962.5,0.0003153024947267957
reward_perturb,0.5,3518.2756826789373,962.5,0.0026557694624637466
reward_perturb,1.0,3521.8935804621433,962.5,0.00163018482777487
