shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,3108.379630157322,1000.0,0.43535537432465105
gravity,1.0,5505.019420736561,1000.0,0.0
gravity,1.5,4868.545569372773,1000.0,0.11561700381406276
gravity,2.0,2867.8395772915082,1000.0,0.47905005266851597
obs_noise,0.0,5505.019420736561,1000.0,0.0
obs_noise,0.01,5484.351436091134,1000.0,0.0037543890522118866
obs_noise,0.1,3695.342060728658,1000.0,0.32873223901647414
obs_noise,0.3,1286.602392545312,1000.0,0.7662855851699854
friction,0.5,5473.958005176735,1000.0,0.005642380741259944
friction,1.0,5505.019420736561,1000.0,0.0
friction,1.5,5394.453169739882,1000.0,0.02008462505694232
friction,2.0,5633.1188994419745,1000.0,-0.02326957798239226
reward_perturb,0.0,5505.019420736561,1000.0,0.0
reward_perturb,0.1,5504.1952841303155,1000.0,0.0001497063939758879
reward_perturb,0.5,5507.293543319429,1000.0,-0.00041309982927606145
reward_perturb,1.0,5523.259982593444,1000.0,-0.0033134418723707653
