shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,4076.262383848112,1000.0,0.21567900467057693
gravity,1.0,5197.186366451964,1000.0,0.0
gravity,1.5,4666.1462653045155,1000.0,0.10217838339901235
gravity,2.0,2939.619453887467,1000.0,0.4343825203454657
obs_noise,0.0,5197.186366451964,1000.0,0.0
obs_noise,0.01,5471.450135295802,1000.0,-0.05277158629796713
obs_noise,0.1,3459.132229373399,1000.0,0.33442213046231534
obs_noise,0.3,1243.4116921706036,1000.0,0.7607529142697531
friction,0.5,5522.8481932683,1000.0,-0.06266117931011578
friction,1.0,5197.186366451964,1000.0,0.0
friction,1.5,5575.1909945228,1000.0,-0.07273255208065463
friction,2.0,5435.790026785792,1000.0,-0.04591016051955028
reward_perturb,0.0,5197.186366451964,1000.0,0.0
reward_perturb,0.1,5197.24725113137,1000.0,-1.171493094777784e-05
reward_perturb,0.5,5188.376983758912,1000.0,0.0016950292084804794
reward_perturb,1.0,5198.4308171978355,1000.0,-0.00023944701192635067
