shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,343.7648236968315,183.2,0.831884865217972
gravity,1.0,2044.8178216824122,623.7,0.0
gravity,1.5,603.1996469704571,215.4,0.7050105683868877
gravity,2.0,440.2687864539086,161.0,0.7846904590788096
obs_noise,0.0,2044.8178216824122,623.7,0.0
obs_noise,0.01,1787.126356930866,548.7,0.12602172282493396
obs_noise,0.1,954.6154602981702,304.8,0.5331537850581025
obs_noise,0.3,296.3055992111376,120.8,0.8550943775679015
friction,0.5,681.2409631312678,230.7,0.6668451556379903
friction,1.0,2044.8178216824122,623.7,0.0
friction,1.5,399.19184961121493,153.8,0.8047787703245014
friction,2.0,305.35572147806204,131.7,0.8506684956282193
reward_perturb,0.0,2044.8178216824122,623.7,0.0
reward_perturb,0.1,2044.7469301556116,623.7,3.466887174439036e-05
reward_perturb,0.5,2043.3532107591793,623.7,0.0007162549679011522
reward_perturb,1.0,2051.458828161169,623.7,-0.003247725253730879
