shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,1838.5829085152868,924.0,0.44300018375098177
gravity,1.0,3300.8680701131693,885.9,0.0
gravity,1.5,737.6977627510104,221.6,0.7765140117442747
gravity,2.0,361.2894166622445,131.8,0.8905471503288958
obs_noise,0.0,3300.8680701131693,885.9,0.0
obs_noise,0.01,3367.7579382410745,899.3,-0.020264326445986032
obs_noise,0.1,3305.891572815468,847.7,-0.001521873215043823
obs_noise,0.3,396.20591648235103,213.1,0.8799691753603569
friction,0.5,3409.215569723206,948.5,-0.03282394125080015
friction,1.0,3300.8680701131693,885.9,0.0
friction,1.5,3626.6515153546134,1000.0,-0.09869629392073057
friction,2.0,2504.7040489847736,794.6,0.2411983769775747
reward_perturb,0.0,3300.8680701131693,885.9,0.0
reward_perturb,0.1,3302.2795863527936,885.9,-0.00042761970779881567
reward_perturb,0.5,3300.344857157168,885.9,0.0001585076849143438
reward_perturb,1.0,3298.630038091623,885.9,0.0006780131692659265
