shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,2036.975295121903,847.9,0.43493803129254116
gravity,1.0,3604.870629997178,994.7,0.0
gravity,1.5,545.7138294076518,198.5,0.8486176383511219
gravity,2.0,411.8512770819486,147.6,0.8857514403832376
obs_noise,0.0,3604.870629997178,994.7,0.0
obs_noise,0.01,3391.8010187072737,939.9,0.05910603546127016
obs_noise,0.1,2100.2725295553905,644.9,0.41737922241136444
obs_noise,0.3,428.39834684837626,191.0,0.8811612424358454
friction,0.5,2897.4426226125815,827.5,0.1962422733004292
friction,1.0,3604.870629997178,994.7,0.0
friction,1.5,3190.119878066832,941.5,0.11505288108790493
friction,2.0,2212.619549481688,709.7,0.3862138821099885
reward_perturb,0.0,3604.870629997178,994.7,0.0
reward_perturb,0.1,3607.1140368967435,994.7,-0.0006223266047045631
reward_perturb,0.5,3602.625838081453,994.7,0.000622710811601866
reward_perturb,1.0,3609.5706189178113,994.7,-0.001303788513663474
