shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,3879.6451373902987,1000.0,0.2820862331538962
gravity,1.0,5404.05452096862,1000.0,0.0
gravity,1.5,4393.82521280234,1000.0,0.18693914064827147
gravity,2.0,2672.9646381413686,1000.0,0.5053779291511907
obs_noise,0.0,5404.05452096862,1000.0,0.0
obs_noise,0.01,5344.33649119128,1000.0,0.01105059720356698
obs_noise,0.1,3621.024906824031,1000.0,0.3299429358505065
obs_noise,0.3,1122.5260570976257,1000.0,0.7922807675714522
friction,0.5,5314.329586650409,1000.0,0.0166032622302502
friction,1.0,5404.05452096862,1000.0,0.0
friction,1.5,5468.254999417803,1000.0,-0.01188005750128451
friction,2.0,5367.9855668462005,1000.0,0.006674424542251698
reward_perturb,0.0,5404.05452096862,1000.0,0.0
reward_perturb,0.1,5403.25068257738,1000.0,0.00014874727634979503
reward_perturb,0.5,5402.131262618614,1000.0,0.00035589173694372436
reward_perturb,1.0,5407.60199490334,1000.0,-0.0006564467329030993
