shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,1586.8261210300611,713.7,0.5528491703841449
gravity,1.0,3548.7491377200286,967.7,0.0
gravity,1.5,536.4980504093188,183.6,0.8488205196848589
gravity,2.0,323.09944042778136,123.8,0.9089539925509179
obs_noise,0.0,3548.7491377200286,967.7,0.0
obs_noise,0.01,3530.021864440332,928.0,0.005277147680190256
obs_noise,0.1,2610.5094744321577,681.5,0.26438602078552764
obs_noise,0.3,392.2100658106412,251.2,0.8894793487536781
friction,0.5,3031.8991101514107,856.6,0.14564287514013444
friction,1.0,3548.7491377200286,967.7,0.0
friction,1.5,3530.8303905283965,1000.0,0.005049313573949709
friction,2.0,1916.3330848010107,602.1,0.45999759057857753
reward_perturb,0.0,3548.7491377200286,967.7,0.0
reward_perturb,0.1,3549.275161667784,967.7,-0.00014822798888883309
reward_perturb,0.5,3541.6102363358887,967.7,0.0020116669584388943
reward_perturb,1.0,3532.439888277303,967.7,0.004595774119216495
