shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,431.3000966368516,224.4,0.7308548657384555
gravity,1.0,1602.481493192187,493.8,0.0
gravity,1.5,621.0305452546264,217.6,0.6124569625964812
gravity,2.0,454.26234325779734,163.0,0.7165256852028323
obs_noise,0.0,1602.481493192187,493.8,0.0
obs_noise,0.01,1599.7657562176944,490.5,0.0016947072312721108
obs_noise,0.1,842.3792089840326,278.4,0.47432827613753575
obs_noise,0.3,289.903266925406,127.4,0.819091035898386
friction,0.5,738.0727071265994,248.5,0.5394188886036129
friction,1.0,1602.481493192187,493.8,0.0
friction,1.5,396.35723494228336,154.8,0.7526603354696291
friction,2.0,305.1590232490341,132.8,0.809570953208858
reward_perturb,0.0,1602.481493192187,493.8,0.0
reward_perturb,0.1,1602.1542754020916,493.8,0.0002041944268844689
reward_perturb,0.5,1605.0129455217848,493.8,-0.0015797076848326945
reward_perturb,1.0,1599.706987431126,493.8,0.0017313808445513122
