shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,415.9745511405925,206.4,0.7066513335009166
gravity,1.0,1418.0209376949467,441.7,0.0
gravity,1.5,727.7858302576631,223.7,0.48675946108333923
gravity,2.0,358.3245459168653,147.6,0.7473065901979296
obs_noise,0.0,1418.0209376949467,441.7,0.0
obs_noise,0.01,1712.22549672479,529.4,-0.20747546895046928
obs_noise,0.1,1126.5960297892639,360.5,0.2055152361709175
obs_noise,0.3,422.47382991850327,190.4,0.7020679887807211
friction,0.5,695.6565919550164,235.4,0.5094172635519503
friction,1.0,1418.0209376949467,441.7,0.0
friction,1.5,405.8909126397812,156.5,0.7137623981070589
friction,2.0,305.8629982728767,131.5,0.7843029040388713
reward_perturb,0.0,1418.0209376949467,441.7,0.0
reward_perturb,0.1,1417.238744317763,441.7,0.0005516091874181484
reward_perturb,0.5,1416.385656796247,441.7,0.0011532135070994555
reward_perturb,1.0,1412.901754627416,441.7,0.003610089901671081
