shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,4616.615727113062,1000.0,0.16466282439086097
gravity,1.0,5526.649432005183,1000.0,0.0
gravity,1.5,4645.625559428119,1000.0,0.1594137430673634
gravity,2.0,2904.451219974565,1000.0,0.47446436476417325
obs_noise,0.0,5526.649432005183,1000.0,0.0
obs_noise,0.01,5478.74553244171,1000.0,0.008667801378183885
obs_noise,0.1,3582.9396143764448,1000.0,0.3516976861916715
obs_noise,0.3,1113.7306884769855,1000.0,0.7984799466332533
friction,0.5,5531.797578825583,1000.0,-0.0009315131860157409
friction,1.0,5526.649432005183,1000.0,0.0
friction,1.5,5580.361693290275,1000.0,-0.00971877481029293
friction,2.0,5119.895019521156,1000.0,0.07359873599517384
reward_perturb,0.0,5526.649432005183,1000.0,0.0
reward_perturb,0.1,5526.32938571725,1000.0,5.790964161390465e-05
reward_perturb,0.5,5529.203603726384,1000.0,-0.00046215555240567644
reward_perturb,1.0,5517.256946539288,1000.0,0.0016994900041068
