shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,424.33629035292904,207.5,0.788269427405459
gravity,1.0,2004.1332961656094,612.2,0.0
gravity,1.5,703.3709010135941,241.5,0.6490398605924504
gravity,2.0,381.318436547244,162.6,0.8097339946016574
obs_noise,0.0,2004.1332961656094,612.2,0.0
obs_noise,0.01,1666.9505629481828,514.4,0.16824366615860262
obs_noise,0.1,719.4717717744753,248.9,0.6410060283160814
obs_noise,0.3,299.82867547802215,140.4,0.8503948434709074
friction,0.5,709.5012518497209,237.8,0.6459810067488185
friction,1.0,2004.1332961656094,612.2,0.0
friction,1.5,405.26374074750674,155.3,0.7977860347298884
friction,2.0,303.2632777395455,130.6,0.84868108407771
reward_perturb,0.0,2004.1332961656094,612.2,0.0
reward_perturb,0.1,2005.0602223309536,612.2,-0.00046250724296513507
reward_perturb,0.5,2006.6665500621239,612.2,-0.0012640146747530108
reward_perturb,1.0,2004.4806429019031,612.2,-0.00017331518664865658
