shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,4483.915010680276,1000.0,0.17776094924116326
gravity,1.0,5453.298534704856,1000.0,0.0
gravity,1.5,4433.910153031097,1000.0,0.186930602677693
gravity,2.0,2792.933487894835,1000.0,0.48784511426972627
obs_noise,0.0,5453.298534704856,1000.0,0.0
obs_noise,0.01,5474.9103851893115,1000.0,-0.0039630785563851394
obs_noise,0.1,3408.421870787029,1000.0,0.3749797761674348
obs_noise,0.3,1071.67281584728,1000.0,0.8034817259632604
friction,0.5,5493.490367199761,1000.0,-0.007370187463444997
friction,1.0,5453.298534704856,1000.0,0.0
friction,1.5,5665.382443696572,1000.0,-0.03889094052746458
friction,2.0,5581.389618208266,1000.0,-0.023488734880043143
reward_perturb,0.0,5453.298534704856,1000.0,0.0
reward_perturb,0.1,5452.575548245395,1000.0,0.00013257782511995848
reward_perturb,0.5,5451.373219214986,1000.0,0.0003530552155941926
reward_perturb,1.0,5481.908441521418,1000.0,-0.005246348908736324
