shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,1562.5019073455874,627.9,0.5632977194705113
gravity,1.0,3577.956830111122,982.5,0.0
gravity,1.5,590.0688975329388,207.8,0.8350821640532168
gravity,2.0,396.87574071189636,144.0,0.8890775491275085
obs_noise,0.0,3577.956830111122,982.5,0.0
obs_noise,0.01,3409.1085046347557,934.0,0.04719126962499501
obs_noise,0.1,2642.6254999710864,709.5,0.2614149288411025
obs_noise,0.3,379.9972790810288,164.7,0.893794895488097
friction,0.5,2950.7395050542555,851.9,0.17530041720413572
friction,1.0,3577.956830111122,982.5,0.0
friction,1.5,3351.913928290972,964.4,0.06317653134264618
friction,2.0,1982.2675621742812,623.2,0.4459777866820386
reward_perturb,0.0,3577.956830111122,982.5,0.0
reward_perturb,0.1,3579.0464597696655,982.5,-0.00030453963261191825
reward_perturb,0.5,3575.3726262322903,982.5,0.0007222568637731795
reward_perturb,1.0,3571.957370277726,982.5,0.0016767837395091497
