shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,1918.5764380999983,764.1,0.4631283102255255
gravity,1.0,3573.621918685899,946.7,0.0
gravity,1.5,674.5067187596208,207.1,0.8112540346720137
gravity,2.0,325.4656204530566,121.0,0.9089255584785708
obs_noise,0.0,3573.621918685899,946.7,0.0
obs_noise,0.01,3772.424079023167,987.8,-0.05563044016989131
obs_noise,0.1,3110.6219082546354,800.8,0.12956043503379872
obs_noise,0.3,436.3050561302962,231.6,0.8779095645655948
friction,0.5,2805.1052865751785,753.1,0.21505258519158657
friction,1.0,3573.621918685899,946.7,0.0
friction,1.5,3618.2426803541152,1000.0,-0.012486145060534104
friction,2.0,2467.9050698517303,754.7,0.30941069704451707
reward_perturb,0.0,3573.621918685899,946.7,0.0
reward_perturb,0.1,3573.931356233358,946.7,-8.658933555374483e-05
reward_perturb,0.5,3574.836570104865,946.7,-0.0003398936559614834
reward_perturb,1.0,3578.4754951713417,946.7,-0.0013581673148085967
