shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,2104.9604449433873,822.1,0.3899202463426332
gravity,1.0,3450.303722299193,932.6,0.0
gravity,1.5,554.2019628203027,184.0,0.8393758905227633
gravity,2.0,318.32231226845335,120.7,0.907740785191997
obs_noise,0.0,3450.303722299193,932.6,0.0
obs_noise,0.01,3547.6826452245564,947.3,-0.028223290110956565
obs_noise,0.1,3421.491486559759,892.0,0.00835063752597245
obs_noise,0.3,373.6219465317309,176.4,0.8917133166807822
friction,0.5,3407.5629145148573,956.8,0.012387549394015164
friction,1.0,3450.303722299193,932.6,0.0
friction,1.5,3540.145766043792,1000.0,-0.026038879755411925
friction,2.0,2056.9254946128967,632.3,0.4038421947264936
reward_perturb,0.0,3450.303722299193,932.6,0.0
reward_perturb,0.1,3449.122846671425,932.6,0.00034225266029070436
reward_perturb,0.5,3442.48913155466,932.6,0.00226489937509772
reward_perturb,1.0,3458.103225798119,932.6,-0.0022605266453843823
