shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,1801.0169820669325,806.3,0.4792434304337921
gravity,1.0,3458.4623359954653,945.9,0.0
gravity,1.5,801.0387045678162,240.8,0.7683829902582271
gravity,2.0,372.52837477771124,135.2,0.8922849698548229
obs_noise,0.0,3458.4623359954653,945.9,0.0
obs_noise,0.01,3552.100880054329,957.4,-0.027075195552740162
obs_noise,0.1,3231.638924677093,834.3,0.0655850459776901
obs_noise,0.3,362.8848917261588,169.8,0.8950733428699584
friction,0.5,3286.8180585438627,944.8,0.0496302289214312
friction,1.0,3458.4623359954653,945.9,0.0
friction,1.5,3236.506725576876,922.1,0.06417754159369873
friction,2.0,1598.977999613971,515.1,0.5376621618885637
reward_perturb,0.0,3458.4623359954653,945.9,0.0
reward_perturb,0.1,3456.283926672318,945.9,0.0006298779953375393
reward_perturb,0.5,3463.342661452001,945.9,-0.0014111258074842603
reward_perturb,1.0,3468.242287076779,945.9,-0.002827832178342576
