shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,425.6018607845857,215.2,0.7603860635790153
gravity,1.0,1776.1982760336336,544.7,0.0
gravity,1.5,581.7815370778474,209.9,0.672456873239961
gravity,2.0,358.8606952600016,141.0,0.797961353694498
obs_noise,0.0,1776.1982760336336,544.7,0.0
obs_noise,0.01,1722.3774132488602,529.5,0.03030115697722607
obs_noise,0.1,951.3499639486532,310.8,0.4643897718034725
obs_noise,0.3,318.245136203099,156.8,0.8208279219177258
friction,0.5,656.0409490304537,228.0,0.6306488088168648
friction,1.0,1776.1982760336336,544.7,0.0
friction,1.5,399.90217206190636,157.8,0.7748549936919689
friction,2.0,304.8154621057407,131.5,0.8283888312365592
reward_perturb,0.0,1776.1982760336336,544.7,0.0
reward_perturb,0.1,1776.6049271580298,544.7,-0.00022894466788033767
reward_perturb,0.5,1770.7358193346222,544.7,0.0030753642612521143
reward_perturb,1.0,1776.9608004373463,544.7,-0.00042930139838633265
