shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,4713.962495812439,1000.0,0.15614068400052059
gravity,1.0,5586.1947678199795,1000.0,0.0
gravity,1.5,4444.827775933654,1000.0,0.20431922611458556
gravity,2.0,2937.1328390000263,1000.0,0.4742158193409632
obs_noise,0.0,5586.1947678199795,1000.0,0.0
obs_noise,0.01,5508.707264764842,1000.0,0.013871249799866377
obs_noise,0.1,3447.9800928668046,1000.0,0.3827676555910019
obs_noise,0.3,1355.1159344855025,1000.0,0.7574169912062808
friction,0.5,5414.86996618476,1000.0,0.030669321202718966
friction,1.0,5586.1947678199795,1000.0,0.0
friction,1.5,5659.593070306586,1000.0,-0.013139230824787433
friction,2.0,5547.113470599132,1000.0,0.0069960498774551865
reward_perturb,0.0,5586.1947678199795,1000.0,0.0
reward_perturb,0.1,5586.096921390909,1000.0,1.751575681424803e-05
reward_perturb,0.5,5577.1357526499505,1000.0,0.0016216790761064417
reward_perturb,1.0,5583.131231117568,1000.0,0.0005484120818807506
