shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,2138.7765647144333,872.0,0.3690050669668557
gravity,1.0,3389.530490258453,920.6,0.0
gravity,1.5,676.9402809172868,213.4,0.8002849412734829
gravity,2.0,328.4143195971905,121.3,0.9031092003623933
obs_noise,0.0,3389.530490258453,920.6,0.0
obs_noise,0.01,3215.285518944187,875.3,0.05140681631720024
obs_noise,0.1,2879.5152872430945,751.9,0.1504678020985938
obs_noise,0.3,415.6205456530832,180.6,0.8773810865995804
friction,0.5,3200.929016844396,900.5,0.05564235930495384
friction,1.0,3389.530490258453,920.6,0.0
friction,1.5,3557.8156288594146,978.3,-0.04964851004722183
friction,2.0,2136.699932039038,666.0,0.36961772782987606
reward_perturb,0.0,3389.530490258453,920.6,0.0
reward_perturb,0.1,3390.126169041922,920.6,-0.0001757407951280778
reward_perturb,0.5,3381.179057550238,920.6,0.0024638907164921285
reward_perturb,1.0,3389.7323283033425,920.6,-5.9547493515551014e-05
