shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,2314.0667902771684,890.3,0.2329662267200239
gravity,1.0,3016.9033892494685,824.7,0.0
gravity,1.5,590.176185315762,205.9,0.8043768363883262
gravity,2.0,390.95873179362604,142.3,0.8704105894849729
obs_noise,0.0,3016.9033892494685,824.7,0.0
obs_noise,0.01,3372.680506983985,915.3,-0.11792791211090961
obs_noise,0.1,2819.7543856021753,817.6,0.06534813290668189
obs_noise,0.3,427.7807814074404,320.5,0.8582053429580118
friction,0.5,3349.0576028060887,946.2,-0.11009772959261116
friction,1.0,3016.9033892494685,824.7,0.0
friction,1.5,2627.2964321849677,735.9,0.1291413435553949
friction,2.0,1572.847733233886,501.3,0.47865492185178266
reward_perturb,0.0,3016.9033892494685,824.7,0.0
reward_perturb,0.1,3017.7787635386085,824.7,-0.000290156553325262
reward_perturb,0.5,3018.752277176205,824.7,-0.0006128429346875803
reward_perturb,1.0,3025.8509382274456,824.7,-0.0029658056038058787
