env,config,seed,baseline,gravity_audc,obs_noise_audc,friction_audc,reward_perturb_audc
walker2d-medium-v2,2Q,45,3389.5,0.7182,0.1121,0.1311,0.0012
walker2d-medium-v2,2Q_tau0.5,42,3360.6,0.7761,0.1138,0.1378,0.0003
walker2d-medium-v2,2Q_tau0.5,43,3480.4,0.7128,0.1088,0.1011,0.0009
walker2d-medium-v2,2Q_tau0.5,44,3531.4,0.8373,0.1187,0.0754,0.0007
walker2d-medium-v2,2Q_tau0.5,45,3129.8,0.6685,0.0988,0.1389,0.0009
walker2d-medium-v2,2Q_tau0.8,42,3375.7,0.7761,0.1026,0.1471,0.0005
walker2d-medium-v2,2Q_tau0.8,43,3527.6,0.7429,0.1197,0.1204,0.0017
walker2d-medium-v2,2Q_tau0.8,44,3465.1,0.7289,0.1214,0.1538,0.0008
walker2d-medium-v2,2Q_tau0.8,45,3201.0,0.7888,0.1333,0.3276,0.0003
walker2d-medium-v2,2Q_tau0.9,42,3560.6,0.7294,0.1378,0.1997,0.0007
walker2d-medium-v2,2Q_tau0.9,43,3354.2,0.7551,0.1281,0.1804,0.0013
walker2d-medium-v2,2Q_tau0.9,44,3032.2,0.7007,0.1226,0.1082,0.0007
walker2d-medium-v2,2Q_tau0.9,45,3502.7,0.7945,0.1382,0.1607,0.0019
walker2d-medium-v2,3Q,42,3548.7,0.7899,0.1275,0.1539,0.0021
walker2d-medium-v2,3Q,43,3450.3,0.7441,0.0918,0.1171,0.0017
walker2d-medium-v2,3Q,44,3300.9,0.7216,0.0892,0.1179,0.0003
walker2d-medium-v2,3Q,45,3393.8,0.7015,0.1186,0.1359,0.0018
walker2d-medium-v2,3Q_tau0.5,42,3499.1,0.7077,0.1258,0.0743,0.0010
walker2d-medium-v2,3Q_tau0.5,43,3740.1,0.8044,0.1226,0.1709,0.0006
walker2d-medium-v2,3Q_tau0.5,44,3660.8,0.7664,0.0955,0.1175,0.0010
walker2d-medium-v2,3Q_tau0.5,45,3573.6,0.7486,0.1094,0.1374,0.0005
walker2d-medium-v2,3Q_tau0.8,42,3458.5,0.7271,0.1004,0.1789,0.0015
walker2d-medium-v2,3Q_tau0.8,43,3570.8,0.7704,0.1149,0.0880,0.0011
walker2d-medium-v2,3Q_tau0.8,44,3697.5,0.7530,0.1270,0.1194,0.0015
walker2d-medium-v2,3Q_tau0.8,45,3197.1,0.7846,0.0978,0.0845,0.0020
walker2d-medium-v2,3Q_tau0.9,42,3280.8,0.7402,0.1202,0.2036,0.0015
walker2d-medium-v2,3Q_tau0.9,43,3016.9,0.6780,0.1012,0.2118,0.0011
walker2d-medium-v2,3Q_tau0.9,44,3604.9,0.7545,0.1516,0.2031,0.0008
walker2d-medium-v2,3Q_tau0.9,45,3578.0,0.7806,0.1296,0.1869,0.0008
