shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,1325.302838666605,574.7,0.6056397437551372
gravity,1.0,3360.6399673391766,901.1,0.0
gravity,1.5,665.0459602983169,210.4,0.8021073465882529
gravity,2.0,354.5737362832965,131.5,0.8944921979952425
obs_noise,0.0,3360.6399673391766,901.1,0.0
obs_noise,0.01,3718.6024203859406,994.5,-0.10651615660281061
obs_noise,0.1,2899.629211288629,744.8,0.13717945407152848
obs_noise,0.3,384.48171772032333,183.4,0.8855927080981718
friction,0.5,3459.6746166998355,970.8,-0.029468985170425947
friction,1.0,3360.6399673391766,901.1,0.0
friction,1.5,3215.1858016120577,883.5,0.043281686565872675
friction,2.0,1898.2275321694767,588.2,0.4351589129994133
reward_perturb,0.0,3360.6399673391766,901.1,0.0
reward_perturb,0.1,3361.2344910128168,901.1,-0.00017690787451739951
reward_perturb,0.5,3358.924622138159,901.1,0.0005104221867526149
reward_perturb,1.0,3360.9432185252144,901.1,-9.023614221846307e-05
