shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,4298.514355619192,1000.0,0.22023249194065223
gravity,1.0,5512.558950189079,1000.0,0.0
gravity,1.5,4581.677463725512,1000.0,0.1688655840009907
gravity,2.0,2725.6409292497046,1000.0,0.5055579534154069
obs_noise,0.0,5512.558950189079,1000.0,0.0
obs_noise,0.01,5454.967520459795,1000.0,0.010447313171555015
obs_noise,0.1,3147.602551123792,1000.0,0.4290124460227622
obs_noise,0.3,1136.2971314897995,1000.0,0.793871205413445
friction,0.5,5430.566482873559,1000.0,0.014873757914680949
friction,1.0,5512.558950189079,1000.0,0.0
friction,1.5,5615.208328548251,1000.0,-0.018621003292064824
friction,2.0,5386.263515144793,1000.0,0.022910491513193548
reward_perturb,0.0,5512.558950189079,1000.0,0.0
reward_perturb,0.1,5513.3048960132555,1000.0,-0.00013531752329848593
reward_perturb,0.5,5516.895688965411,1000.0,-0.0007867015691837933
reward_perturb,1.0,5522.989249136235,1000.0,-0.0018920974889163648
