shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,432.6764293414907,227.3,0.7511846581176737
gravity,1.0,1738.945943076608,534.5,0.0
gravity,1.5,1012.709262776054,303.0,0.41763039454559986
gravity,2.0,417.62012704326463,159.0,0.7598429504344479
obs_noise,0.0,1738.945943076608,534.5,0.0
obs_noise,0.01,1726.6650916081376,530.9,0.007062238775946498
obs_noise,0.1,1506.1108627579317,478.4,0.1338943750642046
obs_noise,0.3,398.7547760287037,189.1,0.7706916781304818
friction,0.5,836.8177359693748,267.4,0.518778752553489
friction,1.0,1738.945943076608,534.5,0.0
friction,1.5,405.9776544213574,158.1,0.7665380824299308
friction,2.0,305.4021724948874,132.5,0.8243751200485517
reward_perturb,0.0,1738.945943076608,534.5,0.0
reward_perturb,0.1,1739.2049512833757,534.5,-0.00014894551943889418
reward_perturb,0.5,1738.687102154529,534.5,0.00014884932053791468
reward_perturb,1.0,1732.972628102798,534.5,0.0034350205062970134
