shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,3934.3607110154453,1000.0,0.289107806982899
gravity,1.0,5534.398534210379,1000.0,0.0
gravity,1.5,4673.650644579726,1000.0,0.15552690763233232
gravity,2.0,2859.7324432549,1000.0,0.48328035547535564
obs_noise,0.0,5534.398534210379,1000.0,0.0
obs_noise,0.01,5455.782801610485,1000.0,0.014204927981593275
obs_noise,0.1,3432.068934005606,1000.0,0.37986595782891575
obs_noise,0.3,1205.3421614565984,1000.0,0.7822090053678126
friction,0.5,5484.007210241632,1000.0,0.009105112986941189
friction,1.0,5534.398534210379,1000.0,0.0
friction,1.5,5650.867666070732,1000.0,-0.021044587074893564
friction,2.0,5491.518909135241,1000.0,0.0077478383260766275
reward_perturb,0.0,5534.398534210379,1000.0,0.0
reward_perturb,0.1,5533.05193562776,1000.0,0.00024331435011318346
reward_perturb,0.5,5529.874341619911,1000.0,0.000817467799346502
reward_perturb,1.0,5543.446170972858,1000.0,-0.0016348003683783396
